Sent_Date,Day_of_week,Category_name,Main_Vs_REM,Subject,Sendings,OR,Length_Of_subject,Personalization,Emoji,Urgency,Tone,Price_or_Discount,Imperative_Tone,Product,Letter_Count,Month
2024-07-02,Sunday,NL Interval,MAIN,Personlig väggdekoration till fantastiska priser!,279,0.2581,short,no,no,no,no,no,no,yes,43,July
2024-08-04,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3447,0.1567,short,no,no,no,no,yes,no,yes,30,August
2024-09-06,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,3201,0.1181,short,no,no,no,yes,yes,yes,yes,33,September
2024-08-27,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,3471,0.1521,short,no,no,yes,yes,yes,yes,yes,24,August
2024-04-21,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,2307,0.1521,short,no,no,no,no,yes,no,yes,30,April
2024-04-30,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,2220,0.127,short,no,no,yes,yes,yes,yes,yes,24,April
2024-07-14,Friday,NL Interval,MAIN,Upp till 58% rabatt på de mest älskade Canvastavlor! &#x1F929;,3165,0.1318,short,no,yes,no,yes,yes,no,yes,38,July
2024-11-02,Wednesday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,3078,0.075,short,no,no,no,no,no,no,yes,42,November
2024-07-30,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,3168,0.1525,short,no,no,yes,no,yes,no,no,27,July
2024-09-10,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,3705,0.1514,short,no,no,yes,no,yes,no,no,27,September
2024-03-31,Friday,NL Interval,MAIN,Upp till 58% rabatt på de mest älskade Canvastavlor! &#x1F929;,1137,0.1873,short,no,yes,no,yes,yes,no,yes,38,March
2024-09-03,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,3570,0.1412,short,no,no,yes,yes,yes,yes,yes,24,September
2024-04-12,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,1272,0.1533,short,no,no,no,yes,yes,yes,yes,33,April
2024-05-07,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,2166,0.1094,short,no,no,yes,no,yes,no,yes,30,May
2024-12-12,Tuesday,NL Final,MAIN,&#x1f381; Ta en titt... Det här är ett Mystiskt Erbjudande bara för dig!,71403,0.0948,long,no,yes,no,yes,no,yes,no,44,December
2024-07-05,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,2565,0.1392,short,no,no,no,yes,yes,yes,yes,33,July
2024-07-12,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3186,0.1309,short,no,no,yes,yes,yes,yes,yes,28,July
2024-06-18,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,3345,0.1247,short,no,no,yes,no,yes,no,no,27,June
